Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-19,1,2024,Bryson City,Swain,35.434767,-83.442133,,22.0
2024-01-19,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,37.0
2024-01-19,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,31.5
2024-01-19,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,60.0
2024-01-19,1,2024,Frying Pan Mountain,Haywood,35.379167,-82.7925,,15.0
2024-01-19,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,33.0,34.5
2024-01-19,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,33.5
2024-01-19,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,27.0
2024-01-19,1,2024,Linville Falls,Avery,35.972347,-81.933072,,23.0
2024-01-19,1,2024,Millbrook School,Wake,35.856111,-78.574167,33.0,41.5
2024-01-19,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,34.0
2024-01-19,1,2024,Rockwell,Rowan,35.551868,-80.395039,33.0,31.0
2024-01-19,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,43.0
2024-01-20,1,2024,Bryson City,Swain,35.434767,-83.442133,,12.0
2024-01-20,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,43.5
2024-01-20,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,31.0
2024-01-20,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,55.0
2024-01-20,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,32.0,27.0
2024-01-20,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,29.0
2024-01-20,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,19.0
2024-01-20,1,2024,Millbrook School,Wake,35.856111,-78.574167,31.0,26.5
2024-01-20,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,25.0
2024-01-20,1,2024,Rockwell,Rowan,35.551868,-80.395039,31.0,23.0
2024-01-20,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,23.0
2024-01-21,1,2024,Bryson City,Swain,35.434767,-83.442133,,30.0
2024-01-21,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,27.5
2024-01-21,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,34.0
2024-01-21,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,55.0
